utc_datetime,standard_symbol,country,name,average_price
2023-12-12T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.549999713897705
2023-08-24T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.25
2023-02-27T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.549999713897705
2023-06-01T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.47000026702881
2023-02-22T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.32499933242798
2023-05-18T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.109999656677246
2023-08-16T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.625
2023-10-26T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.0625
2023-10-17T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.09999990463257
2023-04-17T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.977499961853027
2023-07-14T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.809999942779537
2023-11-24T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.9375
2023-10-12T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.125
2023-05-15T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.25
2023-08-10T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.550000190734867
2023-06-19T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.374999999999996
2023-01-17T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.97499942779541
2023-09-28T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.800000190734863
2023-12-01T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.92500066757202
2023-02-06T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.0125002861023
2023-04-25T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.634999752044674
2023-12-28T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.675000190734863
2023-10-03T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.03749990463257
2023-10-30T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.72499990463257
2023-04-12T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.789999961853027
2023-01-18T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,25.262499809265137
2023-10-27T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.97499990463257
2023-05-31T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,16.780000686645508
2023-05-30T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,16.490000247955322
2023-03-24T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.0649995803833
2023-03-07T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.224999904632565
2023-11-27T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.912500381469723
2023-10-19T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.387500286102295
2023-11-29T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.737500190734863
2023-08-30T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,25.762499809265137
2023-12-06T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.1875
2023-04-03T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.832500457763672
2023-10-18T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.862500190734867
2023-01-12T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.350000381469727
2023-02-03T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,25.287500381469723
2023-06-30T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.485000133514404
2023-10-09T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.200000286102295
2023-05-17T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.449999809265137
2023-01-05T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.550000190734863
2023-12-11T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.03499984741211
2023-03-21T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.85499954223633
2023-12-19T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.19499969482422
2023-08-01T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.887499809265137
2023-11-15T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.412500381469727
2023-01-09T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.699999809265137
2023-09-13T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.77500009536743
2023-03-28T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.057499885559082
2023-07-07T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.365000247955322
2023-02-07T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.125
2023-09-27T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.02500009536743
2023-06-05T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.06999969482422
2023-10-20T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.612500190734863
2023-09-14T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.59999990463257
2023-03-23T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.01250028610229
2023-12-07T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.75
2023-06-21T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.54500007629394
2023-10-24T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.662500381469727
2023-03-02T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.087499618530273
2023-02-17T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.374999523162842
2023-06-23T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.140000343322754
2023-06-20T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.945000171661377
2023-08-23T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.699999809265137
2023-10-31T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.112500190734867
2023-08-03T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.987500190734863
2023-01-30T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,26.199999809265137
2023-03-08T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.23499965667725
2023-07-19T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.09999990463257
2023-12-04T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.59999990463257
2023-08-25T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.612499713897705
2023-01-03T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.61500024795532
2023-08-28T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,25.21250009536743
2023-07-21T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.5
2023-08-31T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,25.71250009536743
2023-09-19T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.3125
2023-06-07T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.47000026702881
2023-12-27T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.170000553131104
2023-06-15T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.70000028610229
2023-05-10T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.134999752044678
2023-05-05T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.59499979019165
2023-03-14T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.667500495910645
2023-11-06T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.46250009536743
2023-11-22T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.72499990463257
2023-11-28T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.112499713897705
2023-01-31T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,25.387500286102295
2023-06-16T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.28999948501587
2023-04-27T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.375
2023-12-18T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.4375
2023-04-20T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.762499809265137
2023-11-09T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.362500190734863
2023-10-10T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.83750009536743
2023-02-24T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.875
2023-08-02T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.40000009536743
2023-12-20T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.112499713897705
2023-11-01T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.512499809265137
2023-06-08T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.04500007629395
2023-12-14T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.399999618530273
2023-09-07T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.862499713897705
2023-01-27T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,27.33750009536743
2023-02-10T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.65000009536743
2023-06-13T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.119999885559082
2023-07-11T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.80500030517578
2023-01-11T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,25.1875
2023-01-13T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.375000000000004
2023-04-24T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.99500036239624
2023-08-18T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.500000476837158
2023-06-27T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.714999675750732
2023-02-21T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,22.21250009536743
2023-01-06T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.137500286102295
2023-06-29T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.59500026702881
2023-04-28T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.750000476837158
2023-05-16T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.320000171661377
2023-09-11T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.66249990463257
2023-03-13T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.602499961853027
2023-09-21T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.65000057220459
2023-08-04T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.65000009536743
2023-11-13T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.087500095367428
2023-05-24T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.554999828338623
2023-07-06T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.044999599456787
2023-04-19T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.074999809265133
2023-12-08T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.335000038146973
2023-10-13T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.324999809265137
2023-05-02T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.96500062942505
2023-04-26T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,17.985000133514404
2023-05-22T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.330000400543213
2023-11-23T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,24.012500286102295
2023-07-24T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.165000438690186
2023-11-30T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,23.22499990463257
2023-03-09T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.110000610351562
2023-08-14T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.950000286102295
2023-03-16T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,19.099999427795414
2023-02-28T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,21.65000009536743
2023-05-29T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,16.59000015258789
2023-12-29T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,20.27999973297119
2023-01-10T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,25.09999990463257
2023-05-03T00:00,SEHK:09992,Hong Kong,Pop Mart Intl,18.490000247955322
