participant_id,participant_name
B01749,TANG KEE SECURITIES LTD
B01733,GRAND CATHAY SECURITIES (HONG KONG) LTD
B01239,NAVA SC SECURITIES LTD
B01258,CHINA POINT STOCK BROKERS LTD
B02145,CIF SECURITIES FUTURES LTD
C00027,DEXIA TRUST SERVICES HONG KONG LTD
B01868,JIMEI SECURITIES LTD
B01425,WELLFULL SECURITIES CO LTD
B01243,TEN & TEN SECURITIES CO
B01457,MARS SECURITIES CO LTD
B00725,CHING YICK CO
B01624,CHINA GUARD INVESTMENTS LTD
B00229,TUNG SHUN & CO
B01659,CHEER UNION SECURITIES LTD
C00045,YIEN YIEH COMMERCIAL BANK LTD
B01120,JS CRESVALE SECURITIES ASIA LTD
B01526,SIU FAI SECURITIES CO LTD
B01322,WATON SECURITIES INTERNATIONAL LIMITED
B01364,STANDARD CAPITAL BROKERAGE LTD
B00228,HANG YUE SECURITIES CO
B02104,MAGPIE SECURITIES LTD
C00011,PUBLIC BANK (HONG KONG) LTD
B00932,JAMES CO
B01523,EVER-LONG SECURITIES CO LTD
B01465,FULL SPEED SECURITIES CO LTD
B02155,ADEN FINANCIAL GROUP LTD
B02027,LEADING SECURITIES COMPANY LTD
B01307,CHELAC INVESTMENT CO
B01707,PAK LEE STOCK CO LTD
B01505,SHACOM SECURITIES LTD
B01192,SEEKERS MARKETS LTD (IN LIQUIDATION)
B80021,KWONG FAT HONG
B01588,LEI SHING HONG SECURITIES LTD
C00085,STANDARD BANK ASIA LTD
B01452,GRAND FORTUNE SECURITIES & INVESTMENT CO
B00587,TANG KEE & CO
B80044,MING HON SECURITIES
B01455,NATIONAL RESOURCES SECURITIES LTD
B01351,WING FUNG SECURITIES LTD
B00723,CARRIER STOCK INVESTMENT CO
B01270,LEE TAT & CO
B02113,UNITED SECURITIES LTD
B01644,Y. F. CHAN SECURITIES LTD
B00262,SZEHOPE & CO
B01400,GLOBAL CREDIT SECURITIES LTD
C00110,EAST WEST BANK
B02173,HONGKONG RICH & FORTUNE SECURITIES CO.
B01939,SOOCHOW SECURITIES INTERNATIONAL
B01981,BLUESTONE SECURITIES (HK) CO LTD
C00010,CITIBANK N.A.
B01663,"DONALDSON, LUFKIN & JENRETTE ASIA"
B01967,YUNFENG SECURITIES LTD
B02034,CHUENMAN SECURITIES LTD
C00098,BARCLAYS BANK PLC
B01297,ONSHINE SECURITIES LTD
C00061,FIRST PACIFIC BANK LTD
B01661,HERMES SECURITIES LTD
B00607,LAI PO HUNG & CO
B00695,ALPHA SECURITIES CO
B01783,FREDDY CO LTD
B00040,SOEN TAK CO
C00019,THE HONGKONG AND SHANGHAI BANKING
B01911,MUFG SECURITIES ASIA LTD
B01497,SINOPAC SECURITIES (ASIA) LTD
B01377,WAI KEUNG SECURITIES CO
B00320,RAMON INVESTMENT CO
B01562,C.A. INTERNATIONAL SECURITIES LTD
B01760,FUHWA SECURITIES (HONG KONG) CO LTD
B01984,FORWIN SECURITIES GROUP LTD
B01503,GOLD CENTRE INVESTMENT CO
C00036,CHINA CONSTRUCTION BANK (ASIA)
B00642,ANNIE MA & CO
B01287,PEREGRINE BROKERAGE LTD
B01916,AMBITION SECURITIES CO. LTD
B01728,AJ SECURITIES LTD
B01183,CHONG HING SECURITIES LTD
B00692,KWONG WAH INVESTMENT CO
B01447,BETA INTERNATIONAL SECURITIES LIMITED
B01653,WAI MAN STOCK & SHARES CO LTD
B01679,TAI FUNG SECURITIES LTD
B01321,WINTAKLY SECURITIES CO
B01991,HF SECURITIES AND FUTURES LTD
B00456,WAI MAN STOCK & SHARES CO
B01190,MANY FAIR SECURITIES CO
B00235,Y. F. CHAN & CO
B01531,LAU & CO LTD
B01123,HING WONG SECURITIES LTD
B02075,INNOVAX SECURITIES LTD
B01757,WING TAK SECURITIES LTD
B01731,SHUN HENG SECURITIES LTD
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
B00659,TRANSPACIFIC SECURITIES CO
C00038,SIN HUA BANK LTD
B01912,THE CORE SECURITIES COMPANY LTD
B00490,THE BRIGHT SECURITIES CO
B00175,LAU & CO
C00068,BANK AUSTRIA AG
B80029,WING SANG & CO
B01362,JOSPA INVESTMENT CO LTD
B00797,INTERCONTINENT SECURITIES CO
B01361,B.N.P. SECURITIES (HONG KONG) LTD
C00101,BANK OF EAST ASIA (TRUSTEES) LTD
B01379,GOLDEN FOUNTAIN SECURITIES CO
B02062,CHINA INTERNATIONAL SECURITIES LTD
B00676,CARRY ON SECURITIES CO
B00694,CHAN NGOK MING & CO
C00096,CHINA CONSTRUCTION BANK CORPORATION
B80039,TAK ON SECURITIES CO
B01516,SHANGHAI SHENYIN SECURITIES (H. K.) LTD
B00371,NORTH SEA SECURITIES
B01833,CTBC ASIA LTD
B00539,UNION SECURITIES CO
B00303,ASIAN PACIFIC INVESTMENT CO
B01535,WING YEE SECURITIES CO LTD
B01950,GLOBAL GROUP SECURITIES LTD
B01100,VICKERS BALLAS HONG KONG SECURITIES LTD
B02200,NINTH ETERNITY SECURITIES ASIA LTD
B01922,SUN SECURITIES LTD
B01548,LEE WAI SECURITIES LTD
B01703,CROWN RICH SECURITIES (H.K.) LTD
B01349,GA LUNG SECURITIES CO
B01511,TAT LEE SECURITIES CO LTD
B01454,HAO TIAN INTERNATIONAL SECURITIES LTD
B01929,CHINA GALAXY INTERNATIONAL SECURITIES
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
B01686,FIRST SHANGHAI SECURITIES LTD
B02102,ZINVEST GLOBAL LTD
B01795,RAFFAELLO SECURITIES (HK) LTD
B00765,EASTERN SECURITIES & CO
B01684,WANG ON SECURITIES LTD
B01613,GOLDEN LIGHT SECURITIES LTD
B00344,TAI NING CO
B01634,LLOYD SECURITIES CO LTD
B01055,LO KIN FAI SECURITIES CO
B01671,AEVITAS SECURITIES LTD
P00017,CROSBY FINANCE (HK) LTD
B01580,OSHIDORI SECURITIES LTD
B02099,DA INTERNATIONAL FINANCIAL SERVICE LTD
B00835,CHI HING CO
B01483,BULLISH SECURITIES LTD
B00422,TIM PO SECURITIES CO
C00086,BNP PARIBAS WEALTH MANAGEMENT
B80050,MING FUNG SHARES INVESTMENT CO
B01434,BEEVEST SECURITIES LTD
B02057,CATHAYSIA SECURITIES LTD
C00031,OVERSEAS TRUST BANK LTD
B01427,TSE'S SECURITIES LTD
B00486,CHUNG LEE & CO
B01193,UPBEST SECURITIES CO
B01861,CHI CAPITAL SECURITIES LTD
B01975,SUPREME CHINA SECURITIES LTD
B00424,TUNG WUI SECURITIES CO
B01650,KAM LUEN SECURITIES LTD
B00043,LUEN SING & CO
B00295,Y. C. CHOW & CO
B02035,PRIME CHINA SECURITIES LTD
B01952,TRINITY SECURITIES CO LTD
B02022,CHAOSHANG SECURITIES LTD
B01915,METAVERSE SECURITIES LTD
B01710,SINO-RICH SECURITIES & FUTURES LTD
B01930,PRIME COURAGE SECURITIES CO LTD
B01470,HUNG SING SECURITIES LTD
B01682,RAMON INVESTMENT CO
B00376,CLOVER SECURITIES CO
B01450,DL BROKERAGE LTD
B01254,LEE WAI & CO
