as_of_date,standard_symbol,close
2024-02-22T00:00,SEHK:02137,1.83000004291534
2024-01-04T00:00,SEHK:02137,2.22000002861023
2024-04-10T00:00,SEHK:02137,1.03999996185303
2024-10-29T00:00,SEHK:02137,1.07000005245209
2024-05-21T00:00,SEHK:02137,1.35000002384186
2024-06-13T00:00,SEHK:02137,1.25999999046326
2024-02-08T00:00,SEHK:02137,1.79999995231628
2024-07-03T00:00,SEHK:02137,1.00999999046326
2024-05-07T00:00,SEHK:02137,1.27999997138977
2024-07-16T00:00,SEHK:02137,1.07000005245209
2024-02-28T00:00,SEHK:02137,1.66999995708466
2024-09-25T00:00,SEHK:02137,1.03999996185303
2024-07-24T00:00,SEHK:02137,1.00999999046326
2024-11-29T00:00,SEHK:02137,0.97000002861023
2024-03-07T00:00,SEHK:02137,1.0
2024-03-25T00:00,SEHK:02137,0.99000000953674
2024-10-04T00:00,SEHK:02137,1.46000003814697
2024-11-11T00:00,SEHK:02137,1.05999994277954
2024-07-02T00:00,SEHK:02137,1.00999999046326
2024-03-12T00:00,SEHK:02137,1.01999998092651
2024-04-19T00:00,SEHK:02137,1.03999996185303
2024-01-05T00:00,SEHK:02137,2.15000009536743
2024-11-28T00:00,SEHK:02137,0.98000001907349
2024-11-14T00:00,SEHK:02137,1.08000004291534
2024-09-17T00:00,SEHK:02137,0.93000000715256
2024-08-20T00:00,SEHK:02137,0.95999997854233
2024-07-10T00:00,SEHK:02137,0.97000002861023
2024-07-05T00:00,SEHK:02137,1.02999997138977
2024-11-19T00:00,SEHK:02137,1.03999996185303
2024-01-09T00:00,SEHK:02137,2.11999988555908
2024-10-16T00:00,SEHK:02137,1.04999995231628
2024-10-17T00:00,SEHK:02137,1.02999997138977
2024-02-07T00:00,SEHK:02137,1.76999998092651
2024-12-03T00:00,SEHK:02137,0.93999999761581
2024-08-05T00:00,SEHK:02137,0.94999998807907
2024-03-21T00:00,SEHK:02137,0.99000000953674
2024-08-23T00:00,SEHK:02137,0.95999997854233
2024-02-26T00:00,SEHK:02137,1.86000001430511
2024-10-18T00:00,SEHK:02137,1.07000005245209
2024-08-06T00:00,SEHK:02137,0.97000002861023
2024-01-02T00:00,SEHK:02137,2.25999999046326
2024-11-06T00:00,SEHK:02137,1.05999994277954
2024-11-18T00:00,SEHK:02137,1.08000004291534
2024-07-30T00:00,SEHK:02137,0.99000000953674
2024-07-04T00:00,SEHK:02137,1.00999999046326
2024-10-25T00:00,SEHK:02137,1.03999996185303
2024-12-05T00:00,SEHK:02137,0.93000000715256
2024-08-08T00:00,SEHK:02137,0.98000001907349
2024-02-19T00:00,SEHK:02137,1.75
2024-01-17T00:00,SEHK:02137,1.96000003814697
2024-07-26T00:00,SEHK:02137,1.03999996185303
2024-05-20T00:00,SEHK:02137,1.42999994754791
2024-10-21T00:00,SEHK:02137,1.04999995231628
2024-09-19T00:00,SEHK:02137,0.93000000715256
2024-05-10T00:00,SEHK:02137,1.25999999046326
2024-11-13T00:00,SEHK:02137,1.17999994754791
2024-04-26T00:00,SEHK:02137,1.1599999666214
2024-07-23T00:00,SEHK:02137,1.07000005245209
2024-12-24T00:00,SEHK:02137,1.01999998092651
2024-02-21T00:00,SEHK:02137,1.86000001430511
2024-02-20T00:00,SEHK:02137,1.79999995231628
2024-03-26T00:00,SEHK:02137,0.95999997854233
2024-04-11T00:00,SEHK:02137,1.02999997138977
2024-01-08T00:00,SEHK:02137,2.0699999332428
2024-10-07T00:00,SEHK:02137,1.57000005245209
2024-03-01T00:00,SEHK:02137,1.70000004768372
2024-06-27T00:00,SEHK:02137,1.01999998092651
2024-01-23T00:00,SEHK:02137,1.75
2024-11-01T00:00,SEHK:02137,1.02999997138977
2024-04-23T00:00,SEHK:02137,0.98000001907349
2024-08-12T00:00,SEHK:02137,0.94999998807907
2024-10-22T00:00,SEHK:02137,1.07000005245209
2024-07-31T00:00,SEHK:02137,1.01999998092651
2024-01-31T00:00,SEHK:02137,1.62000000476837
2024-05-30T00:00,SEHK:02137,1.17999994754791
2024-12-04T00:00,SEHK:02137,0.9200000166893
2024-12-10T00:00,SEHK:02137,0.93999999761581
2024-12-09T00:00,SEHK:02137,0.93999999761581
2024-03-27T00:00,SEHK:02137,0.93000000715256
2024-04-09T00:00,SEHK:02137,0.98000001907349
2024-11-05T00:00,SEHK:02137,1.0900000333786
2024-04-17T00:00,SEHK:02137,0.9200000166893
2024-10-24T00:00,SEHK:02137,1.05999994277954
2024-09-16T00:00,SEHK:02137,0.93000000715256
2024-04-05T00:00,SEHK:02137,0.93999999761581
2024-02-16T00:00,SEHK:02137,1.82000005245209
2024-03-14T00:00,SEHK:02137,0.97000002861023
2024-09-26T00:00,SEHK:02137,1.0900000333786
2024-04-25T00:00,SEHK:02137,1.0900000333786
2024-06-28T00:00,SEHK:02137,1.00999999046326
2024-02-06T00:00,SEHK:02137,1.76999998092651
2024-10-08T00:00,SEHK:02137,1.28999996185303
2024-01-19T00:00,SEHK:02137,1.87000000476837
2024-01-29T00:00,SEHK:02137,1.79999995231628
2024-02-15T00:00,SEHK:02137,1.66999995708466
2024-03-19T00:00,SEHK:02137,0.98000001907349
2024-09-02T00:00,SEHK:02137,0.98000001907349
2024-09-23T00:00,SEHK:02137,1.01999998092651
2024-09-13T00:00,SEHK:02137,0.94999998807907
2024-02-09T00:00,SEHK:02137,1.75
2024-11-07T00:00,SEHK:02137,1.04999995231628
2024-05-29T00:00,SEHK:02137,1.22000002861023
2024-12-12T00:00,SEHK:02137,0.88999998569489
2024-07-15T00:00,SEHK:02137,1.05999994277954
2024-11-12T00:00,SEHK:02137,1.08000004291534
